header,original,remake
T,The Ten Commandments (1923),The Ten Commandments (1956)
T,The Texas Chain Saw Massacre (1974),The Texas Chainsaw Massacre (2003)
T,That Darn Cat! (1965),That Darn Cat (1997)
T,Thief of Bagdad (1924),The Thief of Bagdad (1940)  Baghdad Thirudan (1960)  The Thief of Baghdad (1961)  The Thief of Baghdad (1978)
T,The Thing from Another World (1951),The Thing (1982)  The Thing (2011)
T,The Things of Life (1970),Intersection (1994)
T,The Thirteenth Guest (1932),Mystery of the 13th Guest (1943)
T,These Three (1936),The Children's Hour (1961)
T,Thirupaachi (2005),Annavaram (2006)
T,This Gun for Hire (1942),Short Cut to Hell (1957)  This Gun for Hire (1991)
T,The Thomas Crown Affair (1968),The Thomas Crown Affair (1999)
T,These Three (1936),The Children's Hour (1961)
T,Thunderball (1973),Never Say Never Again (1983)
T,The Time Machine (1960),The Time Machine (2002)
T,To Be or Not to Be (1942),To Be or Not to Be (1983)
T,The Toolbox Murders (1978),Toolbox Murders (2004)
T,Total Recall (1990),Total Recall (2012)
T,Tower of London (1939),Tower of London (1962)
T,Trader Horn (1931),Trader Horn (1973)
T,True Grit (1969),True Grit (2010)
T,La Totale! (1991),True Lies (1994)
T,Le jumeau (1984),Two Much (1996)
T,Two Thousand Maniacs! (1964),2001 Maniacs (2005)
U,Unfaithful (2002),Hawas (2004)  Murder (2004)
U,The Unfaithful Wife (1969),Unfaithful (2002)
U,Unfaithfully Yours (1948),Unfaithfully Yours (1984)
U,The Unholy Three (1925),The Unholy Three (1930)
V,Valley Girl (1983),Valley Girl (2020)
V,The Vanishing (1988),The Vanishing (1993)
V,Vanishing Point (1971),Vanishing Point (1997)
V,Victor and Victoria (1933),First a Girl (1935)  Victor and Victoria (1957)  Victor/Victoria (1982)
V,Village of the Damned (1960),Village of the Damned (1995)
V,Vikramarkudu (2006),Ulta Palta 69 (2007)  Veera Madakari (2009)  Siruthai (2011)  Bikram Singha (2012)Rowdy Rathore (2012)
V,The Virginian (1929),The Virginian (1946)
V,Les Visiteurs (1993),Just Visiting (2001)
W,The Wages of Fear (1953),Sorcerer (1977)
W,Walking Tall (1973),Walking Tall (2004)
W,The Wasp Woman (1959),The Wasp Woman (1995)
W,We're No Angels (1955),We're No Angels (1989)
W,When a Stranger Calls (1979),When a Stranger Calls (2006)
W,What Women Want (2000),What Women Want (2011)  What Men Want (2019)
W,Where the Boys Are (1960),Where the Boys Are '84 (1984)
W,The Wicked Lady (1945),The Wicked Lady (1983)
W,The Wicker Man (1973),The Wicker Man (2006)
W,"Wife, Husband and Friend (1939)",Everybody Does It (1949)
W,Willy Wonka & the Chocolate Factory (1971),Charlie and the Chocolate Factory (2005)Tom and Jerry: Willy Wonka and the Chocolate Factory (2017)
W,The Window (1949),The Boy Cried Murder (1966)
W,Wings of Desire (1987),City of Angels (1998)
W,Witness for the Prosecution (1957),Witness for the Prosecution (1982)
W,The Wizard of Oz (1939),Tom and Jerry and the Wizard of Oz (2011)
W,The Wolf Man (1941),The Wolfman (2010)
W,The Women (1939),The Opposite Sex (1956)The Women (2008)
W,Wonderful Nightmare aka Misseu waipeu (2015),Beautiful Accident aka Mei hao de yi wai (2017)
W,World on a Wire (1973),The Thirteenth Floor (1999)
Y,A Yank at Oxford (1938),Oxford Blues (1984)
Y,The Yellow Handkerchief (1977),The Yellow Handkerchief (2008)
Y,Yellow Sky (1948),The Jackals (1967)
Y,Yojimbo (1961),A Fistful of Dollars (1964)Last Man Standing (1996)
Y,"Yours, Mine and Ours (1968)","Yours, Mine & Ours (2005)"
Z,Zero Hour! (1957),Terror in the Sky (1971)
