header,original,remake
D,Death at a Funeral (2007),Death at a Funeral (2010)
D,Death Game (1977),Knock Knock (2015)
D,Death Race 2000 (1975),Death Race (2008)
D,Death Takes a Holiday (1934),Meet Joe Black (1998)
D,Death Wish (1974),Death Wish (2018)
D,The Debt (2007),The Debt (2010)
D,The Defiant Ones (1958),The Defiant Ones (1986)
D,The Desperado (1954),"Cole Younger, Gunfighter (1958)"
D,The Desperate Hours (1955),Desperate Hours (1990)
D,Destry Rides Again (1939),Frenchie (1950)  Destry (1954)
D,Le Deuxième Souffle (1966),The Second Wind (2007)
D,Les Diaboliques (1955),Diabolique (1996)
D,Dial M for Murder (1954),Dial M for Murder (1967)  Dial M for Murder (1981)  A Perfect Murder (1998)
D,Diversion (1980),Fatal Attraction (1987)
D,Diary of a Wimpy Kid (2010),Diary of a Wimpy Kid (2021)
D,Diary of a Wimpy Kid: Rodrick Rules (2011),Diary of a Wimpy Kid: Rodrick Rules (2022)
D,Don (1978),Yugandhar (1979)  Billa (1980)  Shobhraj (1986)  Don (2006)  Billa (2007)
D,Dona Flor and Her Two Husbands (1976),Kiss Me Goodbye (1982)
D,Don't Look Up (1996),Ghost Theater (2015)
D,Doraemon: Nobita and the Birth of Japan (1989),Doraemon: Nobita and the Birth of Japan 2016 (2016)
D,Doraemon: Nobita and the Steel Troops (1986),Doraemon: Nobita and the New Steel Troops—Winged Angels (2011)
D,Doraemon: Nobita's Dinosaur (1980),Doraemon: Nobita's Dinosaur 2006 (2006)
D,Doraemon: Nobita's Great Adventure into the Underworld (1984),Doraemon: Nobita's New Great Adventure into the Underworld (2007)
D,Doraemon: Nobita's Little Star Wars (1985),Doraemon: Nobita's Little Star Wars 2021 (2022)
D,"Doraemon: The Records of Nobita, Spaceblazer (1981)",Doraemon: The Record of Nobita's Spaceblazer (2009)
D,Double Indemnity (1944),Double Indemnity (1973)
D,Dr. Jekyll and Mr. Hyde (1931),Dr. Jekyll and Mr. Hyde (1941)
D,Dr. Mabuse the Gambler (1922),Dr. M (1990)
D,Dumbo (1941),Dumbo (2019)
D,Dune (1984 film),"Frank Herbert's Dune (2000)
Dune (2021 film)
Dune: Part Two (2023)"
E,Eat Drink Man Woman (1994),Tortilla Soup (2001)
E,Edge of Darkness (mini series) (1985),Edge of Darkness (2010)
E,L'emmerdeur (1973),Buddy Buddy (1981)
E,Elf (2003),Elf: Buddy's Musical Christmas (2014)
E,Escape to Witch Mountain (1975),Escape to Witch Mountain (1995)
E,The Evil Dead (1981),Evil Dead (2013)
E,Das Experiment (2001),The Experiment (2010)
E,The Eye (2002),Naina  (2005)  The Eye (2008)
F,Fame (1980),Fame (2009)
F,The Farmer Takes a Wife (1935),The Farmer Takes a Wife (1953)
F,Father of the Bride (1950),Father of the Bride (1991)Father of the Bride (2022)
F,Father's Little Dividend (1951),Father of the Bride Part II (1995)
F,La Femme Nikita (1990),Black Cat (1991)  Point of No Return (1993)
F,Ferdinand the Bull (1938),Ferdinand (2017)
F,Fingers (1978),The Beat That My Heart Skipped (2005)
F,The Firm (1989),The Firm (2009)
F,Firestarter (1984),Firestarter (2022)
F,Five Came Back (1939),Los que volvieron (1948)  Back from Eternity (1956)
F,Flatliners (1990),Flatliners (2017)
F,The Flight of the Phoenix (1965),Flight of the Phoenix (2004)
F,Flipper (1963),Flipper (1996)
F,The Fly (1958),The Fly (1986)
F,The Fog (1980),The Fog (2005)
F,Folies Bergère de Paris (1935),That Night in Rio (1941)  On the Riviera (1951)
F,Footloose (1984),Footloose (2011)
F,Four Steps in the Clouds (1942),The Virtuous Bigamist (1956)A Walk in the Clouds (1995)
F,Frankenweenie (1984),Frankenweenie (2012)
F,Freaky Friday (1976),Freaky Friday (1995)  Freaky Friday (2003)  Freaky Friday (2018)  Freaky (2020)
F,Free and Easy (1930),Pick a Star (1937)  Abbott and Costello in Hollywood (1945)
F,Fright Night (1985),Fright Night (2011)
F,The Front Page (1931),His Girl Friday (1940)  The Front Page (1974)  Switching Channels (1988)
F,Les Fugitifs (1986),Three Fugitives (1989)
F,Fun with Dick and Jane (1977),Fun with Dick and Jane (2005)
F,Funny Games (1997),Funny Games (2007)
G,Gambit (1966),Gambit (2012)
G,The Gambler (1974),The Gambler (2014)
G,Garde à Vue (1981),Under Suspicion (2000)
G,Gaslight (1940),Gaslight (1944)
G,The General (1926),A Southern Yankee (1948)
G,Get Carter (1971),Get Carter (2000)
G,Gloria (1980),Gloria (1999)
G,The Godfather (1972–90),Shark Tale (2004) Godfather (2007)
G,Going in Style (1979),Going in Style (2017)
G,The Golden Chance (1915),Forbidden Fruit (1921)
G,Gone in 60 Seconds (1974),Gone in 60 Seconds (2000)
G,The Good Companions (1933),The Good Companions (1957)
G,The Goodbye Girl (1977),The Goodbye Girl (2004)
G,The Grand Highway (1987),Paradise (1991)
G,The Great Train Robbery (1941),The Last Bandit (1949)South Pacific Trail (1952)
G,Griffin and Phoenix (1976),Griffin & Phoenix (2006)
G,Guess Who's Coming to Dinner (1967),Guess Who (2005)
G,The Guilty (2018),The Guilty (2021)
G,Gunga Din (1939),Sergeants 3 (1962)
G,A Guy Named Joe (1943),Always (1989)
H,Haq Mehar (1985),Sanam Bewafa (1991)
H,Halloween (1978),Halloween (2007)
H,Happy Days in Aranjuez (1933),Desire (1936)
H,Harakiri (1962),Hara-Kiri: Death of a Samurai (2011)
H,The Haunting (1963),The Haunting (1999)
H,Heat (1986),Wild Card (2015)
H,The Heartbreak Kid (1972),The Heartbreak Kid (2007)
H,Hellraiser (1987),Hellraiser (2022)
H,High Noon (1952),High Noon (2000)
H,High Sierra (1941),Colorado Territory (1949)  I Died a Thousand Times (1955)
H,The Hills Have Eyes (1977),The Hills Have Eyes (2006)
H,Himitsu (1999),The Secret (2007)
H,His Girl Friday (1940),Switching Channels (1988)
H,His Royal Slyness (1920),Long Fliv the King (1926)
H,The Hitcher (1986),The Hitcher (2007)
H,Hodet over vannet (1993),Head Above Water (1996)
H,How the Grinch Stole Christmas (2000),The Grinch (2018)
H,Holiday (1930),Holiday (1938)
H,Holiday Affair (1949),Holiday Affair (1996)
H,Holiday for Henrietta (1952),Paris When It Sizzles (1964)
H,Hoop-La (1933),Diamond Horseshoe (1945)
H,House of Wax (1953),House of Wax (2005).
H,House on Haunted Hill (1959),House on Haunted Hill (1999)
H,The House on Sorority Row (1983),Sorority Row (2009)
H,House of Strangers (1949),Broken Lance (1954)
H,How to Make a Monster (1958),How to Make a Monster (2001)
H,Humanoids from the Deep (1980),Humanoids from the Deep (1996)
H,The Humpbacked Horse (1947),The Humpbacked Horse (1975)
H,The Hurricane (1937),Hurricane (1979)
I,I Am Sam (2001),Main Aisa Hi Hoon (2005)
I,I Married a Monster from Outer Space (1958),I Married a Monster (1998)
I,I Saw What You Did (1965),I Saw What You Did (1988)
I,I Spit on Your Grave (1978),I Spit on Your Grave (2010)
I,I Want to Live! (1958),I Want to Live! (1983)
I,"I Was Born, But... (1932)",Good Morning (1959)
I,Ice Castles (1978),Ice Castles (2010)
I,The Incredible Journey (1963),Homeward Bound: The Incredible Journey (1993)
I,Un indien dans la ville (1994),Jungle 2 Jungle (1997)
I,Infernal Affairs (2002),The Departed (2006)
I,The Informer (1935),Uptight (1968)
I,The Initiation of Sarah (1978),The Initiation of Sarah (2006)
I,The In-Laws (1979),The In-Laws (2003)
I,Insomnia (1997),Insomnia (2002)
I,Intermezzo (1936),Intermezzo (1939)
I,Interview (2003),Interview (2007)
I,The Intouchables (2011),The Upside (2019)
I,Invaders from Mars (1953),Invaders from Mars (1986)
I,Invasion of the Body Snatchers (1956),Invasion of the Body Snatchers (1978)  Body Snatchers (1993)  The Invasion (2007)
I,It Happened on 5th Avenue (1947),Pugree (1948)  Det hændte i København (1949)  Dil Daulat Duniya (1972)
I,It Happened One Night (1934),Eve Knew Her Apples (1945)  You Can't Run Away from It (1956)
I,It Started with Eve (1941),I'd Rather Be Rich (1964)
I,The Italian Job (1969),The Italian Job (2003)
I,It's Alive (1974),It's Alive (2009)
I,It's a Wonderful Life (1946),It Happened One Christmas (1977)
J,The Jazz Singer (1927),The Jazz Singer (1952)  The Jazz Singer (1980)
J,"Joe Smith, American (1942)",The Big Operator (1959)
J,Le Jouet (1976),The Toy (1982)
J,Le Jour se lève (1939),The Long Night (1947)
J,Journey into Fear (1943),Journey into Fear (1975)
J,The Jungle Book (1967),Rudyard Kipling's The Jungle Book (1994)  The Jungle Book (2016)
J,The Jungle Book (1942),The Jungle Book (1967)
K,Kaakha Kaakha (2003),Gharshana (2004)
K,The Karate Kid (1984),The Karate Kid (2010)
K,King Kong (1933),King Kong (1976)  The Mighty Kong (1998)  King Kong (2005)
K,Kismet (1944),Kismet (1955)
K,Kiss of Death (1947),The Fiend Who Walked the West (1958)  Kiss of Death (1995)
K,Kolamba Sanniya (1976),Kolamba Sanniya Returns (2018)
K,Kramer vs. Kramer (1979),Marriage Story (2019)
L,L.A. Takedown (1989),Heat (1995)
L,Lady and the Tramp (1955),Lady and the Tramp (2019)
L,Lady for a Day (1933),Pocketful of Miracles (1961)
L,The Ladykillers (1955),The Ladykillers (2004)
L,The Lady Vanishes (1938),The Lady Vanishes (1979)
L,Lage Raho Munna Bhai (2006),Shankar Dada Zindabad (2007)
L,The Land That Time Forgot (1975),The Land That Time Forgot (2009)
L,Last Holiday (1950),Last Holiday (2006)
L,The Last House on the Left (1972),The Last House on the Left (2009)
L,The Last Kiss (2001),The Last Kiss (2006)
L,The Last Man on Earth (1924),It's Great to Be Alive (1933)
L,The Last Man on Earth (1964),The Omega Man (1971)  I Am Legend (2007)  I Am Omega (2007)
L,The Last Mile (1932),The Last Mile (1959)
L,Last of the Badmen (1957),Gunfight at Comanche Creek (1963)
L,Let the Right One In (2008),Let Me In (2010)
L,The Letter (1940),The Unfaithful (1947)
L,A Letter to Three Wives (1949),A Letter to Three Wives (1985)
L,De Lift (1983),Down (2001)
L,The Lion King (1994),The Lion King (2019)
L,Little Caesar (1931),Black Caesar (1973)
L,Little Fugitive (1953),Little Fugitive (2006)
L,The Little Mermaid (1989),The Little Mermaid (2023)
L,Little Miss Marker (1934),Sorrowful Jones (1949)  Little Miss Marker (1980)
L,The Little Shop of Horrors (1960),Little Shop of Horrors (1986)
L,Loft (2008),Loft (2010)  The Loft (2014)
L,LOL (Laughing Out Loud) (2008),LOL (2012)
L,London After Midnight (1927),Mark of the Vampire (1935)
L,The Longest Yard (1974),Mean Machine (2001)  The Longest Yard (2005)
L,"The Long, Hot Summer (1958)",The Long Hot Summer (1985)
L,Lost Horizon (1937),Lost Horizon (1973)
L,"Louis 19, King of the Airwaves (Louis 19, le roi des ondes) (1994)",EDtv (1999)
L,Love Affair (1939),An Affair to Remember (1957)Love Affair (1994)
L,Love Is News (1937),That Wonderful Urge (1948)
M,Maula Jatt (1979),"Jeene Nahi Doonga (1984)
The Legend of Maula Jatt (2021)"
M,M (1931),M (1951)
M,Mädchen in Uniform (1931),Mädchen in Uniform (1958)
M,The Magnificent Seven (1960),Battle Beyond the Stars (1980)  The Magnificent Seven (2016)
M,The Major and the Minor (1942),You're Never Too Young (1955)
M,The Man Who Knew Too Much (1934),The Man Who Knew Too Much (1956)
M,The Man Who Loved Women (1977),The Man Who Loved Women (1983)
M,The Manchurian Candidate (1962),The Manchurian Candidate (2004)
M,Manichitrathazhu (1993),Apthamitra (2004)  Chandramukhi (2005)  Rajmohol (2005)  Bhool Bhulaiyaa (2007)
M,Il Mare (2000),The Lake House (2006)
M,Mare Nostrum (1926),Mare Nostrum (1948)
M,Maskerade (1934),Escapade (1935)
M,Martyrs (2008),Martyrs (2015)
M,The Mayor of Hell (1933),Crime School (1938)
M,Midnight (1939),Masquerade in Mexico (1945)
M,The Mechanic (1972),The Mechanic (2011)
M,Merton of the Movies (1924),Make Me a Star (1932)
M,Midsommer (2003),Solstice (2008)
M,Midnight Lace (1960),Midnight Lace (1981)
M,Mighty Joe Young (1949),Mighty Joe Young (1998)
M,Miracle in Cell No. 7 (2013),Miracle in Cell No. 7 (Philippine remake) (2019)  Miracle in Cell No. 7 (Turkish remake) (2019)  Miracle in Cell No. 7 (2022 film)
M,The Miracle of Morgan's Creek (1944),Rock-A-Bye Baby (1958)
M,Miracle on 34th Street (1947),Miracle on 34th Street (1973)  Miracle on 34th Street (1994)
M,The Miracle Man (1919),The Miracle Man (1932)
M,Miss Granny (2014),20 Once Again (2015)  Sweet 20 (2015)
M,Mississippi Mermaid (1969),Original Sin (2001)
M,The Magnificent Fraud (1939),Moon over Parador (1988)
M,The More the Merrier (1943),"Walk, Don't Run (1966)"
M,Mostly Martha (2001),No Reservations (2007)
M,Mother's Day (1980),Mother's Day (2010)
M,Mr. Blandings Builds His Dream House (1948),The Money Pit (1986)
M,Mr. Deeds Goes to Town (1936),Mr. Deeds (2002)
M,Mr. Smith Goes to Washington (1939),Billy Jack Goes to Washington (1977)
M,Mulan (1998),Mulan (2020)
M,The Mummy (1932),The Mummy (1999)The Mummy (2017)
M,Munna Bhai M.B.B.S. (2003),Shankar Dada M.B.B.S. (2004) Vasool Raja M.B.B.S. (2004)  Uppi Dada MBBS (2006) Dr. Nawariyan (2017)
M,Murder! (1930),Mary (1931)
M,The Music Man (1962),The Music Man (2003)
M,My Bloody Valentine (1981),My Bloody Valentine 3D (2009)
M,My Father the Hero (1991),My Father the Hero (1994)
M,My Favorite Wife (1940),"Something's Got to Give (unfinished) (1962)  Move Over, Darling (1963)"
M,My Little Pony: Equestria Girls (2013),Turning Red (2022)
M,My Little Pony: The Movie (1986),My Little Pony: The Movie (2017)
M,My Man Godfrey (1936),My Man Godfrey (1957)
M,My Name Is Julia Ross (1945),Dead of Winter (1987)
M,My Sister Eileen (1942),My Sister Eileen (1955)
M,Mystery of the Wax Museum (1933),House of Wax (1953)
N,Naukar Wohti Da (1974),Naukar Biwi Ka (1983)Naukar Vahuti Da (2019)
N,Naadodigal (2009),Shambo Shiva Shambo (2010)Hudugaru (2011)Ithu Nammude Katha (2011)Rangrezz (2013)
N,Nathalie... (2003),Chloe (2009)
N,Nightwatch (1994),Nightwatch (1997)
N,Neuf mois (1994),Nine Months (1995)
N,Night and the City (1950),Night and the City (1992)
N,Night Must Fall (1937),Night Must Fall (1964)
N,Night of the Demons (1988),Night of the Demons (2009)
N,Night of the Living Dead (1968),Night of the Living Dead (1990)Night of the Living Dead 3D (2006)
N,A Nightmare on Elm Street (1984),A Nightmare on Elm Street (2010)
N,Nine Queens (2000),Criminal (2004)
N,Nosferatu (1922),Nosferatu the Vampyre (1979)
N,Not of This Earth (1957),Not of This Earth (1988)Not of This Earth (1995)
N,Nueve Reinas (2000),Criminal (2004)Gulumaal: The Escape (2009)All the Best (2012)
N,The Nutty Professor (1963),The Nutty Professor (1996)
N,Nuvvostanante Nenoddantana (2005),Unakkum Enakkum (2006)Neenello Naanalle (2006)I Love You (2007)Suna Chadhei Mo Rupa Chadhei (2009)Tera Mera Ki Rishta (2009)Nissash Amar Tumi (2010)Ramaiya Vastavaiya (2013)
O,Ocean's 11 (1960),Ocean's Eleven (2001)
O,The Old Dark House (1932),The Old Dark House (1963)
O,Oldboy (2003),Oldboy (2013)
O,The Omen (1976),The Omen (2006)
O,On the Beach (1959),On the Beach (2000)
O,One Hundred and One Dalmatians (1961),101 Dalmatians (1996)
