id,title,keyword
0092086,Three Amigos!,remake
0373051,Journey to the Center of the Earth,remake
0324216,The Texas Chainsaw Massacre,remake
0041594,Little Women,remake
1289401,Ghostbusters,remake
14550346,Last Summer,remake
1352824,Chloe,remake
1351685,Jack the Giant Slayer,remake
1228987,Let Me In ),remake
8629748,Spenser Confidential,remake
0805647,The Witches,remake
13130948,Shehzada,remake
0058385,My Fair Lady,remake
22297684,Class,remake
7588054,"Roswell, New Mexico",remake
0115433,101 Dalmatians,remake
0170016,How the Grinch Stole Christmas,remake
0384806,The Amityville Horror,remake
2388715,Oculus,remake
0212338,Meet the Parents,remake
15501640,Drishyam 2,remake
9304350,Fruits Basket,remake
0268695,The Time Machine,remake
0155267,The Thomas Crown Affair,remake
1232783,Sorority Row,remake
0055277,The Parent Trap,remake
0262985,Queer as Folk ),remake
21047286,Resident Evil 4,remake
0230838,Sweet November,remake
1667353,Mirror Mirror ),remake
0424774,The Adventures of Sharkboy and Lavagirl 3-D,remake
9000184,Goodnight Mommy,remake
0983946,Fantasy Island,remake
0068833,The Last House on the Left,remake
0352248,Cinderella Man,remake
0076740,Sorcerer,remake
1068242,Footloose,remake
0351977,Walking Tall,remake
5592248,The Beguiled,remake
5040012,Nosferatu ),remake
2788732,Pete's Dragon,remake
14518756,Hometown Cha-Cha-Cha,remake
4122068,Humans,remake
0472181,The Smurfs,remake
0237572,The Pledge ),remake
0089767,Pale Rider,remake
0408839,The Heartbreak Kid,remake
1210819,The Lone Ranger,remake
0036855,Gaslight,remake
0074751,King Kong,remake
0413895,Charlotte's Web,remake
0175058,The Powerpuff Girls,remake
15242330,The First Slam Dunk,remake
0290002,Meet the Fockers,remake
4262980,Shin Godzilla,remake
0391198,The Grudge,remake
1111422,The Taking of Pelham 123,remake
0094761,The Blob,remake
5531466,DuckTales,remake
0120828,Six Days Seven Nights,remake
2318092,Endless Love,remake
2103217,Maniac,remake
0086006,Never Say Never Again,remake
1434435,Mother's Day ),remake
0063385,Oliver!,remake
0083284,Victory,remake
0068128,Sanford and Son,remake
0171363,The Haunting,remake
1298644,The Hustle ),remake
1798632,Firestarter,remake
5179598,Billionaire Boys Club,remake
2231253,Wild Card,remake
0999913,Straw Dogs,remake
0083722,Cat People,remake
11762114,Mean Girls Musical,remake
5719748,Cold Pursuit,remake
0071577,The Great Gatsby,remake
0455407,The Crazies,remake
23129678,Bayi Ajaib,remake
0068327,Cabaret,remake
2467046,Left Behind ),remake
0119395,The Jackal,remake
0120891,Wild Wild West,remake
0435670,The Invisible,remake
1137450,Death Wish,remake
0116191,Emma,remake
0139809,The Thirteenth Floor,remake
0280590,Mr. Deeds,remake
3337194,From Dusk Till Dawn: The Series,remake
1179056,A Nightmare on Elm Street,remake
0120787,A Perfect Murder,remake
1850397,The Loft,remake
1987680,The Upside,remake
2711738,The Tunnel,remake
0099582,Flatliners,remake
7745956,She-Ra and the Princesses of Power,remake
0084234,The Last American Virgin,remake
0185371,House on Haunted Hill,remake
0837563,Pet Sematary,remake
0814335,The Stepfather,remake
0054038,The Lost World,remake
0120632,City of Angels,remake
0086859,Against All Odds,remake
0110213,The Jungle Book,remake
0314979,Battlestar Galactica,remake
0066434,THX 1138,remake
1438176,Fright Night,remake
0082934,The Postman Always Rings Twice,remake
0408985,Last Holiday,remake
0117218,The Nutty Professor,remake
0450345,The Wicker Man,remake
0078504,The Wiz,remake
2406376,The Bridge ),remake
0316732,Taxi ),remake
0365376,A Tale of Two Sisters,remake
0040746,Rope,remake
0493405,CHIPS,remake
0109836,Mary Shelley's Frankenstein,remake
0054387,The Time Machine,remake
0236348,Josie and the Pussycats,remake
5320412,Moon Lovers: Scarlet Heart Ryeo,remake
0094137,Three Men and a Baby,remake
0875034,Nine,remake
0409182,Poseidon,remake
3861390,Dumbo,remake
0368008,The Manchurian Candidate,remake
2568862,Going in Style,remake
0058437,The Outrage,remake
0108473,The Vanishing,remake
0119256,Hard Eight,remake
0110478,Maverick,remake
0815245,The Uninvited,remake
0358135,Shall We Dance,remake
6897772,The Little Mermaid Live!,remake
13696452,Money Heist: Korea - Joint Economic Area,remake
0086993,The Bounty,remake
2039393,The Gambler ),remake
4558376,Downhill ),remake
0088414,The Woman in Red,remake
0479968,One Missed Call,remake
0095031,Dirty Rotten Scoundrels,remake
0427340,Masters of the Universe,remake
0798817,13 ),remake
2039338,Flatliners,remake
0272152,K-PAX,remake
15128068,"Monica, O My Darling",remake
10431500,Miracle in Cell No. 7,remake
0083412,Fame,remake
1234719,Red Dawn,remake
0075472,All Creatures Great and Small,remake
1563742,Overboard,remake
0800069,The Hills Have Eyes 2,remake
0780653,The Wolfman,remake
0091541,The Money Pit,remake
0114287,Rob Roy,remake
8096832,Lady and the Tramp,remake
0102603,Oscar,remake
2072230,Attack on Titan Part 1,remake
2788316,Shogun,remake
1924429,Trance ),remake
0106452,Body Snatchers,remake
0118972,The Devil's Own,remake
3612126,The Grudge ),remake
4823992,The Bad Seed,remake
0096794,Always,remake
0119432,Jungle 2 Jungle,remake
0119137,Flubber,remake
8577458,High Fidelity,remake
1441251,Cliffhanger,remake
0114852,Village of the Damned,remake
0266425,Conspiracy,remake
1179891,My Bloody Valentine,remake
1178618,Wallander,remake
4081630,The Valet,remake
15264192,Murderville,remake
0141369,Inspector Gadget,remake
0114319,Sabrina,remake
0118528,12 Angry Men,remake
1663655,Martyrs,remake
1075417,Race to Witch Mountain,remake
2709692,The Grinch,remake
0307479,Solaris,remake
10028196,Laal Singh Chaddha,remake
0079641,Nosferatu the Vampyre,remake
0318913,Teenage Mutant Ninja Turtles,remake
0054357,Swiss Family Robinson,remake
0084865,Victor/Victoria,remake
0075265,A Star Is Born,remake
0116409,The Ghost and the Darkness,remake
0048356,Marty,remake
0120751,Mighty Joe Young,remake
21216104,Trigun Stampede,remake
8637498,The Monkey King,remake
2387559,Delivery Man,remake
0457400,Land of the Lost,remake
0427152,Dinner for Schmucks,remake
0080299,Too Close for Comfort,remake
1029360,Poltergeist,remake
0107843,Point of No Return,remake
0050371,A Face in the Crowd,remake
1931435,The Big Wedding,remake
0106400,The Beverly Hillbillies,remake
0335438,Starsky & Hutch,remake
0406759,The Eye,remake
2638144,Ben-Hur,remake
0453556,TMNT,remake
0060315,Django,remake
1340094,The Crow,remake
0060782,One Million Years B.C.,remake
1703925,Wilfred,remake
0155975,Psycho,remake
0324554,Wicker Park,remake
0283084,Tuck Everlasting,remake
0117438,Ransom,remake
1524137,Contraband,remake
1314652,The Housemaid,remake
0118460,The Shining,remake
0162650,Shaft,remake
0118661,The Avengers,remake
0375173,Alfie,remake
0100258,Night of the Living Dead,remake
0335245,The Ladykillers,remake
0096251,Tetsuo: The Iron Man,remake
1321509,Death at a Funeral,remake
4935418,Baskin,remake
0432291,The Fog,remake
0246894,Rollerball,remake
0926129,Prom Night ),remake
0382628,Dark Water,remake
5941692,Miss Bala,remake
0085276,Breathless,remake
8717446,Blackbird ),remake
0108101,Shadowlands,remake
2191765,One Wild Moment,remake
0482599,Shutter ),remake
0049408,The King and I,remake
0327162,The Stepford Wives,remake
0079482,Long Weekend,remake
1226273,Edge of Darkness,remake
0291502,Swept Away,remake
0278500,The Importance of Being Earnest,remake
0080421,Battle Beyond the Stars,remake
0800308,Appaloosa,remake
2660734,The Tomorrow People,remake
1067106,A Christmas Carol,remake
0116830,Last Man Standing,remake
0117110,Muppet Treasure Island,remake
0032599,His Girl Friday,remake
0114887,A Walk in the Clouds,remake
0052918,Imitation of Life,remake
1613750,Kon-Tiki,remake
0074042,Quincy M.E.,remake
10737918,Shin Ultraman,remake
0397313,Eight Below,remake
0062565,The Ghost & Mrs. Muir,remake
10192566,Alone ),remake
1741273,Secret in Their Eyes,remake
0481141,No Reservations,remake
0051658,Gigi,remake
0369441,Fun with Dick and Jane,remake
0049470,The Man Who Knew Too Much,remake
0361411,Bride & Prejudice,remake
0167456,Thunderbirds,remake
1082868,Quarantine,remake
7587362,Four Weddings and a Funeral,remake
0113041,Father of the Bride Part II,remake
0090567,52 Pick-Up,remake
1391034,And Soon the Darkness,remake
0078753,All Quiet on the Western Front,remake
1430612,Brick Mansions,remake
0045888,House of Wax,remake
0421206,Gridiron Gang,remake
0089421,King Solomon's Mines,remake
1142977,Frankenweenie,remake
2059171,13 Sins,remake
1385861,Clue,remake
0110612,My Father the Hero,remake
1266036,Valley Girl,remake
0454919,Pulse ),remake
0377062,Flight of the Phoenix,remake
0355987,Salem's Lot,remake
1436045,13 Assassins,remake
2561546,The Town That Dreaded Sundown,remake
0443295,"Yours, Mine & Ours",remake
0058100,First Men in the Moon,remake
0208988,Get Carter,remake
0103247,White Fang ),remake
1829012,Passion,remake
1142800,Madea Goes to Jail,remake
6038954,Picnic at Hanging Rock,remake
1767382,Silent House,remake
0066549,Waterloo ),remake
14336174,Peter von Kant,remake
0455857,When a Stranger Calls,remake
7076834,Satan's Slaves,remake
0054176,Peter Pan,remake
0427392,The Invasion ),remake
0047522,A Star Is Born,remake
0111252,Spanking the Monkey,remake
27419466,Moana,remake
15964848,The Makanai: Cooking for the Maiko House,remake
0077663,Heaven Can Wait,remake
0049513,Moby Dick,remake
0208502,Angel's Egg,remake
0118073,A Very Brady Sequel,remake
0050105,An Affair to Remember,remake
0372237,Guess Who,remake
0408524,Bad News Bears,remake
0337917,Catch That Kid,remake
0063850,If....,remake
0060278,Daleks' Invasion Earth 2150 A.D.,remake
0088576,Mr. Belvedere,remake
1312221,Frankenstein,remake
0454970,Turistas,remake
0079871,Scum,remake
7226940,Our Story,remake
9613354,The Hunchback of Notre Dame,remake
6951546,Animaniacs,remake
0114702,Total Eclipse,remake
1422020,Dog Pound,remake
3832096,Cabin Fever,remake
0318403,The Lion King 1½,remake
0056264,Mutiny on the Bounty,remake
0043949,Quo Vadis,remake
0101988,The Guyver,remake
0055312,Pocketful of Miracles,remake
7826034,Resident Evil 2,remake
0424600,The Andromeda Strain,remake
14449392,Slumber Party Massacre,remake
13975458,Cube,remake
1826590,About Last Night,remake
0164212,Under Suspicion,remake
0104756,Lorenzo's Oil,remake
0997152,The Experiment,remake
0109890,The Getaway,remake
6908976,Knights of the Zodiac: Saint Seiya,remake
5974030,The Jesus Rolls,remake
7975192,Hide and Seek ),remake
0104666,Lady Chatterley,remake
0116322,Flipper,remake
1166100,Ghajini,remake
0422774,Are We Done Yet?,remake
5628902,Rabid,remake
1755893,Skins,remake
4787052,Love for Rent,remake
0924129,Crossing Over,remake
0418131,The Sandlot 2,remake
0079624,Secrets of a French Maid,remake
0449086,Dominion,remake
6149182,Heathers,remake
1782352,Upstairs Downstairs,remake
0372824,The Chorus,remake
0055895,Days of Wine and Roses,remake
0454082,Black Christmas,remake
15458236,Voltes V: Legacy,remake
0264323,2001 Maniacs,remake
0433386,The Grudge 2,remake
0216651,Vampire Hunter D: Bloodlust,remake
0260615,The Forsyte Saga,remake
0808506,The Girl Who Leapt Through Time,remake
5262792,Dirty Dancing,remake
0058324,Man's Favorite Sport?,remake
0405676,All the King's Men,remake
0112302,Tom and Huck,remake
6057416,Final Fantasy VII Remake,remake
0319970,Carrie,remake
0094447,Dear John,remake
0088693,Alice in Wonderland ),remake
0045891,How to Marry a Millionaire,remake
2499472,Point Blank,remake
10334148,Blithe Spirit,remake
1226753,The Debt ),remake
8737608,Rams,remake
2044801,Kite,remake
6135682,Spider-Man,remake
2309021,We Are What We Are,remake
1927068,Shameless,remake
3053228,Day of the Dead: Bloodline,remake
0029120,The Last of Mrs. Cheyney,remake
0393735,The Shaggy Dog,remake
0455960,The Hitcher,remake
0110527,Miracle on 34th Street,remake
0258068,The Quiet American,remake
5598292,Polaroid ),remake
0124595,Return to Paradise,remake
0089790,Lola's Secret,remake
7690670,SuperFly,remake
0109644,Don't Drink the Water,remake
6906292,Retribution ),remake
0049314,High Society,remake
0787490,Life on Mars,remake
0032701,The Letter,remake
8130968,Badla,remake
0071141,Ali: Fear Eats the Soul,remake
14814006,"Love, Reason, Get Even",remake
0363226,The Blind Swordsman: Zatoichi,remake
0075527,Logan's Run,remake
1849718,Agneepath,remake
0430770,The Women ),remake
4065552,The Unknown Soldier,remake
0094511,Mission: Impossible,remake
10623550,The Fugitive,remake
2072233,Sleepless ),remake
0049578,The Opposite Sex,remake
4456850,Adventures in Babysitting,remake
0139151,Inferno,remake
0880557,Bionic Woman,remake
14153686,Rebelde,remake
0024991,Cleopatra,remake
0240510,The Four Feathers,remake
13265876,Apex,remake
10481868,Black Christmas,remake
0113986,Nine Months,remake
0092809,The Curse,remake
0186045,Drowning Mona,remake
13834480,Diary of a Wimpy Kid,remake
9164986,The Baker and the Beauty,remake
7058080,Angel of Mine,remake
0085328,The Key,remake
0112750,Crying Freeman,remake
0120910,Fantasia 2000,remake
0024264,Little Women,remake
12844722,Call My Manager,remake
0901487,The Good the Bad the Weird,remake
0255653,Tortilla Soup,remake
0217055,Something's Got to Give,remake
0099334,Cyrano de Bergerac,remake
0131369,Edtv,remake
2962876,The Road Within,remake
0078950,The Champ,remake
20918700,The Last of Us: Part I,remake
2090465,Black Butterfly ),remake
0087065,Cloak & Dagger,remake
0090966,Down and Out in Beverly Hills,remake
0084809,The Toy,remake
0076210,The Island of Dr. Moreau,remake
0246544,The Musketeer,remake
3016748,Jacob's Ladder,remake
0071803,Mame,remake
0054111,The Naked Witch,remake
0113552,Kiss of Death,remake
0033152,The Thief of Bagdad,remake
0108185,Sommersby,remake
1183732,Tokyo Gore Police,remake
0096945,Blind Fury,remake
2486630,Fright Night 2,remake
7230846,No Activity,remake
1270761,Don't Be Afraid of the Dark,remake
0923811,Evangelion: 1.0 You Are (Not) Alone,remake
0086450,To Be or Not to Be,remake
0065054,Sweet Charity,remake
3230780,The Returned,remake
13357124,The Way of the Househusband,remake
0404978,Gambit ),remake
0054417,Two Way Stretch,remake
0096461,As Tears Go By,remake
0110538,Mixed Nuts,remake
0133046,Teaching Mrs. Tingle,remake
4877736,BrainDead,remake
0046085,Mogambo,remake
1334512,Arthur ),remake
0054649,Babes in Toyland,remake
0128886,NightMan,remake
0077234,The Big Sleep,remake
9911196,The Marriage Escape,remake
0054743,The Children's Hour,remake
11465278,He-Man and the Masters of the Universe,remake
0045917,Invaders from Mars,remake
2077886,The Phantom of the Opera at the Royal Albert Hall,remake
0098090,The Phantom of the Opera,remake
0047209,Man in the Attic,remake
3340446,Storm Boy,remake
0122025,Commando Fury,remake
0119791,Nightwatch,remake
1268809,Night of the Demons,remake
6902696,Gloria Bell,remake
0489018,Day of the Dead,remake
0090683,Babes in Toyland,remake
27738382,The Office: Superfan Episodes,remake
0453453,Beer League,remake
5808778,Pieles,remake
15174768,Dead Space,remake
0434139,The Last Kiss,remake
0091276,Invaders from Mars,remake
11375842,Crow,remake
0091480,Manon of the Spring,remake
0120662,Eye of the Beholder,remake
0034236,The Strawberry Blonde,remake
2256055,Witchboard,remake
7985692,After the Wedding,remake
0310357,Willard,remake
7489816,Nothing to Hide,remake
0016220,The Phantom of the Opera,remake
7572868,The Name of the Rose,remake
0118308,Emma,remake
3082898,Kickboxer: Vengeance,remake
0026752,Mutiny on the Bounty,remake
0101811,Enchanted April,remake
0365675,The Red Baron,remake
0110391,Love Affair,remake
1760943,Charlie's Angels,remake
10461542,Lego Star Wars: The Skywalker Saga,remake
0028757,A Damsel in Distress,remake
0064382,"Goodbye, Mr. Chips",remake
0117104,Mrs. Winterbourne,remake
14465894,Restless,remake
0100449,Quick Change,remake
0120317,That Darn Cat,remake
0337592,Love Don't Cost a Thing,remake
3148890,Embrace of the Vampire,remake
0080888,Honeysuckle Rose,remake
0084157,Ivanhoe,remake
2188931,Those Who Kill,remake
2258337,Eega,remake
1876451,Sparkle ),remake
7049178,Rome in Love,remake
0462519,School for Scoundrels,remake
15887102,The Housemaid,remake
1798695,The Inbetweeners,remake
8983202,Kabir Singh,remake
